outcome,classification,icc,term,Value,Std.Error,t-value,p-value
bucket_communication_and_creative_avg_mentions_per_post,aug,0.572,Intercept,1.997031768556287,0.10619810534837867,18.80477775008418,6.901085566686126e-79
bucket_communication_and_creative_avg_mentions_per_post,aug,0.572,TIME,0.0014258736073076842,0.000820476453457347,1.737860484964922,0.0822353998512379
bucket_communication_and_creative_avg_mentions_per_post,aug,0.572,TRANS,-0.0013271697685089522,0.04171736309253509,-0.03181336666857633,0.9746208869725237
bucket_communication_and_creative_avg_mentions_per_post,aug,0.572,RECOV,0.004717984428442951,0.0022907441401659673,2.05958594227862,0.03943814127011763
bucket_communication_and_creative_avg_mentions_per_post,aug,0.572,Group Var,1.3553793502969678,0.2592478726279791,5.228121398095089,1.7124106349470007e-07
bucket_communication_and_creative_avg_mentions_per_post,auto,0.542,Intercept,1.4901738678597505,0.30490744244249984,4.88729909615365,1.02228727860272e-06
bucket_communication_and_creative_avg_mentions_per_post,auto,0.542,TIME,0.018216727790951837,0.002290135361950875,7.954432778782881,1.799540457804375e-15
bucket_communication_and_creative_avg_mentions_per_post,auto,0.542,TRANS,-0.21375162655821148,0.12187722743737707,-1.7538274462966537,0.0794600786290397
bucket_communication_and_creative_avg_mentions_per_post,auto,0.542,RECOV,-0.010352440871143858,0.006036580219872574,-1.7149512628132335,0.0863541628592725
bucket_communication_and_creative_avg_mentions_per_post,auto,0.542,Group Var,1.418973910083154,1.0222972321386679,1.3880247989272454,0.1651294938126593
bucket_communication_and_creative_avg_mentions_per_post,both,0.579,Intercept,2.114251366811254,0.12854896667245683,16.44705065734502,8.805286353222855e-61
bucket_communication_and_creative_avg_mentions_per_post,both,0.579,TIME,0.003749585012905783,0.0010138113311883115,3.698503752676357,0.00021687414429035176
bucket_communication_and_creative_avg_mentions_per_post,both,0.579,TRANS,-0.0673131855012326,0.04803845599461069,-1.4012354083316976,0.1611436891868535
bucket_communication_and_creative_avg_mentions_per_post,both,0.579,RECOV,0.005283238688110687,0.0026535614390576483,1.9909991946472168,0.04648097578790982
bucket_communication_and_creative_avg_mentions_per_post,both,0.579,Group Var,1.4292601681782657,0.3642897881637101,3.923415408877624,8.730242767873204e-05
bucket_data_and_analytics_avg_mentions_per_post,aug,0.516,Intercept,0.5282231570803085,0.04491342379901576,11.760919395592463,6.20548495683468e-32
bucket_data_and_analytics_avg_mentions_per_post,aug,0.516,TIME,3.0625793836950722e-06,0.0003889052390146467,0.007874873044792619,0.9937168253197514
bucket_data_and_analytics_avg_mentions_per_post,aug,0.516,TRANS,0.020486728684128857,0.019788000115034596,1.0353107219037956,0.30052382418459445
bucket_data_and_analytics_avg_mentions_per_post,aug,0.516,RECOV,-0.001044595319436922,0.0010856117114588827,-0.9622181747036963,0.3359400214197208
bucket_data_and_analytics_avg_mentions_per_post,aug,0.516,Group Var,1.063104891409769,0.20388804152176723,5.214160102157198,1.8465193960956636e-07
bucket_data_and_analytics_avg_mentions_per_post,auto,0.0,Intercept,-2.5796598606842004e-17,1430594.0499104247,-1.8032088563808323e-23,1.0
bucket_data_and_analytics_avg_mentions_per_post,auto,0.0,TIME,0.0031560653573875436,0.0007576462439209948,4.165618694358167,3.1050931791361384e-05
bucket_data_and_analytics_avg_mentions_per_post,auto,0.0,TRANS,-0.14200102654519128,0.04029198221264292,-3.5242998419828013,0.00042460347229004286
bucket_data_and_analytics_avg_mentions_per_post,auto,0.0,RECOV,0.0038847079501159744,0.0019957615504833564,1.9464790015496247,0.05159722791138082
bucket_data_and_analytics_avg_mentions_per_post,auto,0.0,Group Var,0.0,,,
bucket_data_and_analytics_avg_mentions_per_post,both,0.512,Intercept,0.6631377677761541,0.059697934435911815,11.10821964012942,1.144179619141522e-28
bucket_data_and_analytics_avg_mentions_per_post,both,0.512,TIME,-0.001022827826677271,0.0005427279710447258,-1.8846049609500972,0.05948319203738834
bucket_data_and_analytics_avg_mentions_per_post,both,0.512,TRANS,-0.008222006148661577,0.02574275894352787,-0.319391024353616,0.7494300162275436
bucket_data_and_analytics_avg_mentions_per_post,both,0.512,RECOV,-0.0010569486119184522,0.0014205410673290499,-0.7440465018767555,0.45684834287142206
bucket_data_and_analytics_avg_mentions_per_post,both,0.512,Group Var,1.055898010704661,0.2700656444452915,3.9097827969694205,9.237914854957683e-05
bucket_development_and_infrastructure_avg_mentions_per_post,aug,0.569,Intercept,0.6520035751653022,0.06182566366025782,10.545840296161947,5.309607251185682e-26
bucket_development_and_infrastructure_avg_mentions_per_post,aug,0.569,TIME,-0.0005930860549112199,0.000483320979252421,-1.2271059614018383,0.21978276754420223
bucket_development_and_infrastructure_avg_mentions_per_post,aug,0.569,TRANS,0.0016809158327957972,0.024574178695263658,0.06840170951958492,0.9454658610197022
bucket_development_and_infrastructure_avg_mentions_per_post,aug,0.569,RECOV,0.0008265287815249036,0.0013491962858799686,0.6126082543918564,0.5401353989883104
bucket_development_and_infrastructure_avg_mentions_per_post,aug,0.569,Group Var,1.3223401043419338,0.25275127505970124,5.2317841088223584,1.6788175703086986e-07
bucket_development_and_infrastructure_avg_mentions_per_post,auto,0.785,Intercept,0.4368035762615452,0.25666543323445085,1.7018402936345047,0.0887853107850591
bucket_development_and_infrastructure_avg_mentions_per_post,auto,0.785,TIME,0.002951456864106115,0.0012652700120229987,2.332669577292145,0.019665494099389905
bucket_development_and_infrastructure_avg_mentions_per_post,auto,0.785,TRANS,-0.1478232638554684,0.06727543212161055,-2.197284494408827,0.028000134342258287
bucket_development_and_infrastructure_avg_mentions_per_post,auto,0.785,RECOV,0.0013946874268958571,0.0033310566611146875,0.4186921955356791,0.675441100165635
bucket_development_and_infrastructure_avg_mentions_per_post,auto,0.785,Group Var,3.398719785100246,2.43317803643274,1.3968233044233285,0.16246671249977762
bucket_development_and_infrastructure_avg_mentions_per_post,both,0.533,Intercept,0.8548475170662214,0.09523086574133967,8.976580338858902,2.7931284654513855e-19
bucket_development_and_infrastructure_avg_mentions_per_post,both,0.533,TIME,-0.003169635861953414,0.000833932946611301,-3.8008282018755546,0.00014421326608138836
bucket_development_and_infrastructure_avg_mentions_per_post,both,0.533,TRANS,-0.005882226985063465,0.03954328119661162,-0.14875414500422135,0.8817476349451512
bucket_development_and_infrastructure_avg_mentions_per_post,both,0.533,RECOV,0.0007381633948687113,0.0021829111409686287,0.3381554938334156,0.7352460130238925
bucket_development_and_infrastructure_avg_mentions_per_post,both,0.533,Group Var,1.1447531846253112,0.29256116441594576,3.9128678849451473,9.120643913623492e-05
bucket_domain_specific_and_industry_avg_mentions_per_post,aug,0.643,Intercept,1.888012627060433,0.11386457632482794,16.5812115409308,9.528824884430047e-62
bucket_domain_specific_and_industry_avg_mentions_per_post,aug,0.643,TIME,0.0013540757580294052,0.0007663537370330878,1.7669069681471943,0.07724380986335307
bucket_domain_specific_and_industry_avg_mentions_per_post,aug,0.643,TRANS,0.10093459765447678,0.03894215608664747,2.591910869801206,0.009544449561792213
bucket_domain_specific_and_industry_avg_mentions_per_post,aug,0.643,RECOV,-0.0015991783898656711,0.002139624576554613,-0.747410740832296,0.4548156638816434
bucket_domain_specific_and_industry_avg_mentions_per_post,aug,0.643,Group Var,1.8105252969440546,0.3448313697530854,5.250465751536675,1.5171511179165278e-07
bucket_domain_specific_and_industry_avg_mentions_per_post,auto,0.857,Intercept,1.690240236440717,0.6148240301268939,2.749144720468826,0.005975099851220249
bucket_domain_specific_and_industry_avg_mentions_per_post,auto,0.857,TIME,0.01528747101690935,0.001887908931022538,8.097568037155945,5.606874754001322e-16
bucket_domain_specific_and_industry_avg_mentions_per_post,auto,0.857,TRANS,-0.2985175417407126,0.10041067868438378,-2.9729660794249675,0.0029493704400280546
bucket_domain_specific_and_industry_avg_mentions_per_post,auto,0.857,RECOV,0.02104488772489382,0.004973413502824641,4.23147757831546,2.3216114060954986e-05
bucket_domain_specific_and_industry_avg_mentions_per_post,auto,0.857,Group Var,8.85754545514544,6.308677615302158,1.4040256921134813,0.16031119909965985
bucket_domain_specific_and_industry_avg_mentions_per_post,both,0.698,Intercept,1.5881735260876755,0.15364128689166248,10.336892890044254,4.798435937444048e-25
bucket_domain_specific_and_industry_avg_mentions_per_post,both,0.698,TIME,0.009994218193807993,0.0008807757820762129,11.34706289295225,7.669589085342596e-30
bucket_domain_specific_and_industry_avg_mentions_per_post,both,0.698,TRANS,-0.05674043819858158,0.041684104662540175,-1.361200838015646,0.17345022943031585
bucket_domain_specific_and_industry_avg_mentions_per_post,both,0.698,RECOV,0.0071112883259416265,0.0023061505528154756,3.083618420861454,0.0020449970370920167
bucket_domain_specific_and_industry_avg_mentions_per_post,both,0.698,Group Var,2.77396629268078,0.7030492069014805,3.9456218219864954,7.95931523891984e-05
bucket_enterprise_and_operations_avg_mentions_per_post,aug,0.533,Intercept,1.9410350005856132,0.08997217301554146,21.57372591468171,3.1709618764350477e-103
bucket_enterprise_and_operations_avg_mentions_per_post,aug,0.533,TIME,0.0010539515938029576,0.0007530636758346271,1.399551761190518,0.16164758790986944
bucket_enterprise_and_operations_avg_mentions_per_post,aug,0.533,TRANS,0.017026213654919197,0.038308330179148684,0.4444519919113208,0.6567158309041521
bucket_enterprise_and_operations_avg_mentions_per_post,aug,0.533,RECOV,0.0037657348709453815,0.0021021397205469336,1.7913818164120958,0.07323204486146127
bucket_enterprise_and_operations_avg_mentions_per_post,aug,0.533,Group Var,1.143260754195413,0.21896139383757435,5.221289169557828,1.7768183677954073e-07
bucket_enterprise_and_operations_avg_mentions_per_post,auto,0.601,Intercept,1.4474096378129946,0.3093705197518932,4.678563552124417,2.8889163249300256e-06
bucket_enterprise_and_operations_avg_mentions_per_post,auto,0.601,TIME,0.011329103582123417,0.0022085879743151925,5.129568626595544,2.9040688799246866e-07
bucket_enterprise_and_operations_avg_mentions_per_post,auto,0.601,TRANS,-0.07173284868000138,0.11752448353709398,-0.6103651470832502,0.5416199503591866
bucket_enterprise_and_operations_avg_mentions_per_post,auto,0.601,RECOV,-0.007395311869098505,0.005820217979974405,-1.2706245529881384,0.20386224780084483
bucket_enterprise_and_operations_avg_mentions_per_post,auto,0.601,Group Var,1.578590372972953,1.1351243290961535,1.3906761863080768,0.16432364201953753
bucket_enterprise_and_operations_avg_mentions_per_post,both,0.56,Intercept,1.7964103463238585,0.11885040636214875,15.114886026136263,1.2919442675430462e-51
bucket_enterprise_and_operations_avg_mentions_per_post,both,0.56,TIME,0.005361094230440051,0.000962044449534083,5.572605541289098,2.5095736195167406e-08
bucket_enterprise_and_operations_avg_mentions_per_post,both,0.56,TRANS,0.004985470616482256,0.04557629625546459,0.10938735759785438,0.9128952607504237
bucket_enterprise_and_operations_avg_mentions_per_post,both,0.56,RECOV,0.0005955905594906839,0.0025170080315755007,0.23662640405556387,0.812946634373318
bucket_enterprise_and_operations_avg_mentions_per_post,both,0.56,Group Var,1.3544568509302368,0.3456114572553388,3.919016058340797,8.891119143286976e-05
bucket_security_and_compliance_avg_mentions_per_post,aug,0.709,Intercept,0.15927647399039482,0.028353186557089852,5.61758635734603,1.936433980082281e-08
bucket_security_and_compliance_avg_mentions_per_post,aug,0.709,TIME,0.0009797482809227984,0.0001634206972755343,5.995252114674929,2.031699908531337e-09
bucket_security_and_compliance_avg_mentions_per_post,aug,0.709,TRANS,-0.029006246161740367,0.008299500238150242,-3.494938891429583,0.000474170305242072
bucket_security_and_compliance_avg_mentions_per_post,aug,0.709,RECOV,-0.0012910407217755016,0.00045632905442259864,-2.829188080976081,0.004666626504953851
bucket_security_and_compliance_avg_mentions_per_post,aug,0.709,Group Var,2.4971711993961034,0.4749819173919861,5.25740266725833,1.4610417628248281e-07
bucket_security_and_compliance_avg_mentions_per_post,auto,0.956,Intercept,0.23412811132473174,0.1873090358038572,1.2499563105428704,0.21131550744827876
bucket_security_and_compliance_avg_mentions_per_post,auto,0.956,TIME,-0.0002863376383099864,0.0003504242887156575,-0.8171169851252164,0.4138615772549491
bucket_security_and_compliance_avg_mentions_per_post,auto,0.956,TRANS,-0.011920650521089366,0.01863577600895034,-0.6396648315242761,0.522390524001212
bucket_security_and_compliance_avg_mentions_per_post,auto,0.956,RECOV,0.00427399088008323,0.0009230068721230398,4.630508189232088,3.6476935513040813e-06
bucket_security_and_compliance_avg_mentions_per_post,auto,0.956,Group Var,23.992092102059356,17.078892875773555,1.404780290887133,0.16008662157443265
bucket_security_and_compliance_avg_mentions_per_post,both,0.683,Intercept,0.2051454655845339,0.04380223114569559,4.6834478568494875,2.820892382617907e-06
bucket_security_and_compliance_avg_mentions_per_post,both,0.683,TIME,0.0008870006380642207,0.00028291791530814117,3.135187240080362,0.0017174445376678983
bucket_security_and_compliance_avg_mentions_per_post,both,0.683,TRANS,-0.037675179455161474,0.013390256591566748,-2.8136264004746177,0.004898612327772425
bucket_security_and_compliance_avg_mentions_per_post,both,0.683,RECOV,0.0012770824092477075,0.0007408930744092211,1.7237067714069767,0.0847607919884824
bucket_security_and_compliance_avg_mentions_per_post,both,0.683,Group Var,2.170370725741858,0.5517207626558048,3.9338210062902057,8.360605342342076e-05
